time_utc,CallSign,ShipName,Type,ImoNumber,MMSI,latitude,longitude,Destination,FixType,Dimension A,Dimension B,Dimension C,Dimension D,MaximumStaticDraught,MessageID
2023-12-09 08:09:28.79121332 +0000 UTC,SVSV7,CHRISTOS LV,52,9371464,241776000,34.66877833333333,33.05138,CYLMS,1,56,0,8,8,4.6,5
2023-12-09 08:09:28.842115138 +0000 UTC,6BBI,EGY CROWN,79,9216107,622113180,34.66652666666666,33.078035,CYLMS ANCHORAGE AREA,0,120,20,20,30,9.5,5
2023-12-09 08:09:35.300128274 +0000 UTC,E5U4377,TATIANA,37,9842918,518998397,34.66487666666667,33.03999,CYLMS,1,41,39,6,6,0,5
2023-12-09 08:09:36.202539535 +0000 UTC,ZDRC6,SEASTAR VENTURE,70,9612155,236723000,31.820911666666667,34.642540000000004,ILASH,1,149,28,20,8,5.8,5
2023-12-09 08:09:42.333073581 +0000 UTC,TCA3829,KIYEM 5,51,0,271044343,36.62475,29.103698333333334,FETHIYE,1,11,12,3,3,2.2,5
2023-12-09 08:09:54.425282595 +0000 UTC,YJTK3,DEMAREST TIDE,90,9608740,577171000,34.655195000000006,33.019396666666665,LIMASSOL,1,24,64,9,10,5,5
2023-12-09 08:10:07.586107552 +0000 UTC,T8A4046,VASSILIKO,70,8914130,511100835,31.82849333333333,34.645430000000005,ASHDOD ISRAEL,15,110,17,14,2,7.9,5
2023-12-09 08:10:11.635874416 +0000 UTC,V7NL5,NOR NAOMI,92,9689251,538007432,34.64843,33.016095,LIMASSOL,1,19,67,4,16,5.6,5
2023-12-09 08:10:19.654535939 +0000 UTC,3E2292,MEDKON CANAKKALE,79,9341964,352002364,31.822619999999997,34.64232833333333,ILASH,1,117,12,11,10,6.5,5
2023-12-09 08:10:41.210160959 +0000 UTC,9LU2251,DEBBIE,70,9128415,667001448,31.828466666666667,34.64196666666667,IL ASH,1,90,17,7,9,7.8,5
2023-12-09 08:10:54.213707376 +0000 UTC,4XFY,KESARIA,52,9667916,428045000,32.472723333333334,34.882889999999996,HADERA PORT,1,10,22,3,9,4.2,5
2023-12-09 08:11:03.381802145 +0000 UTC,T8A3659,BAR DIVE 1,0,9258181,511100504,34.64534166666667,33.010371666666664,LIMASSOL CYPRUS,1,9,13,5,2,2.5,5
2023-12-09 08:11:04.19808307 +0000 UTC,TJM4G3,CORAL C,70,8911413,613226010,31.825445,34.64455833333333,IL ASH,15,0,0,0,0,4,5
2023-12-09 08:11:06.478783328 +0000 UTC,T2QR4,SOLARIS,0,9586203,572705210,34.677393333333335,33.063253333333336,CYLMS,1,10,27,3,9,4,5
2023-12-09 08:11:07.65621967 +0000 UTC,5BRC4,P&O TROODOS,52,9338175,212872000,34.65132833333333,33.023268333333334,LIMASOL,1,14,16,6,5,4,5
2023-12-09 08:11:09.230314157 +0000 UTC,ZGQN,SUN,90,9232694,319234300,34.647415,33.023273333333336,LIMASSOL,1,24,74,4,14,4.2,5
2023-12-09 08:11:15.382987781 +0000 UTC,P3MJ8,SKY,59,9130755,212858000,34.646116666666664,33.00789833333333,CY LMS,1,16,74,11,11,4.1,5
2023-12-09 08:11:19.85833852 +0000 UTC,CRXN,EDT AUGUSTA,52,9448190,255977000,34.64524166666667,33.009681666666665,CYLMS,1,0,0,0,0,5,5
2023-12-09 08:11:32.713225863 +0000 UTC,9HA5678,LE VERSEAU,37,8356833,256060000,34.665413333333326,33.04198,LIMASSOL,15,20,20,5,5,2.6,5
2023-12-09 08:11:35.209078397 +0000 UTC,4XFW,DANCHOR VI,52,9530383,428068000,31.824291666666667,34.645176666666664,ASHDOD PORT,15,16,16,6,6,5,5
2023-12-09 08:11:54.197552691 +0000 UTC,5BLV2,EDT ZENON,52,9315977,212541000,34.64539666666667,33.00968833333334,LIMASSOL,1,7,21,2,7,2.4,5
2023-12-09 08:12:06.201067992 +0000 UTC,5BFB3,EDT LEON,91,9575400,209343000,34.64511666666667,33.009008333333334,LIMASSOL,0,18,32,5,5,2.4,5
2023-12-09 08:12:12.391340006 +0000 UTC,PILOTB2,PILOT B 2,50,0,428009070,31.830741666666665,34.64165,ASHDOD,1,12,4,2,3,2,5
2023-12-09 08:12:13.296842549 +0000 UTC,TBA3609,SEA STAR LINDOS,60,8911360,511100460,36.62296666666667,29.105050000000002,RH0DES,1,30,8,5,4,1.6,5
2023-12-09 08:12:15.536517462 +0000 UTC,3E5051,BEOL,37,1010375,352002749,34.64581333333333,33.00761,LIMASSOL,1,29,31,6,4,3.5,5
2023-12-09 08:12:15.807477471 +0000 UTC,V7JU2,MILA,70,9316220,538002973,31.826616666666666,34.64168333333334,IL ASH,1,162,28,20,12,12.9,5
2023-12-09 08:12:23.789893569 +0000 UTC,9HA5679,EXINITY,37,0,256081000,34.665345,33.04178666666667,LIMASSOL MARINA,15,10,30,6,3,2.1,5
2023-12-09 08:12:25.197513785 +0000 UTC,9HA4821,SEVANNA,37,0,248823000,34.665240000000004,33.04132833333333,LIMASSOL CYPRUS,1,26,16,2,6,2.5,5
2023-12-09 08:12:33.826000488 +0000 UTC,5LKX6,ATLAS STAR,89,9376828,636022888,31.847815,34.581628333333335,ALEXANDRIA FOR ORDER,1,156,27,21,6,7.5,5
2023-12-09 08:12:36.941281568 +0000 UTC,P3ES7,EDT ARGONAUT,52,7810131,212230000,34.64503333333334,33.00991666666667,LIMASSOL,1,9,33,6,3,3.7,5
2023-12-09 08:12:37.014888919 +0000 UTC,3FUD,KAZIME ANA,79,8420359,371343000,31.822366666666667,34.63646666666667,ILASH,1,15,100,8,8,7.4,5
2023-12-09 08:12:53.224563227 +0000 UTC,5LFF6,KRITI CAPTAIN,80,9335147,636021691,34.68777,33.3474,CY VAS FOR ORDER,1,150,34,12,15,10.2,5
2023-12-09 08:12:54.22487949 +0000 UTC,P3CQ9,PETSAS I,0,0,209352000,34.66446833333334,33.02969,,15,0,0,0,0,0,5
2023-12-09 08:12:56.747324472 +0000 UTC,9LU2251,DEBBIE,70,9128415,667001448,31.828466666666667,34.64196666666667,IL ASH,0,90,17,7,9,7.8,5
2023-12-09 08:13:07.414239442 +0000 UTC,D5TK5,CHEM LITHIUM,80,9815252,636019201,27.490166666666667,34.952999999999996,FOR ORDERS,1,130,17,12,12,7.9,5
2023-12-09 08:13:07.664571699 +0000 UTC,5BER6,P&O KALYPSO,52,9965239,209166000,34.65202,33.02170666666667,LIMASSOL,1,11,11,5,6,5,5
2023-12-09 08:13:09.567460777 +0000 UTC,V7A4317,ENERGEAN STAR,70,9677935,538009102,34.67133333333334,33.076435,LIMASSOL,1,14,74,9,10,5.3,5
2023-12-09 08:13:16.261688975 +0000 UTC,5BHA4,LEDRA PRIDE,52,8028503,210588000,34.645085,33.017765000000004,CYLIM,1,10,32,3,7,5.5,5
2023-12-09 08:13:23.865123506 +0000 UTC,ZGQA5,VICTORIOUS,90,1009912,319222400,36.64481166666667,29.109401666666667,FETHIYE,1,40,45,7,7,4.4,5
2023-12-09 08:13:28.212919171 +0000 UTC,A8YK4,IVORY RAY,80,9505986,636015074,23.898333333333333,37.42666666666666,FOR ORDERS,1,136,10,24,0,0,5
2023-12-09 08:13:30.571847086 +0000 UTC,J5AG2,SEA STAR TILOS,68,8921913,630001049,36.62279,29.10503,CESME-FETHIYE,15,25,10,6,6,2.5,5
2023-12-09 08:13:34.066695382 +0000 UTC,EAPC,EAPC CONTROL,0,0,428990000,31.642125,34.53113,,1,0,0,0,0,0,5
2023-12-09 08:13:39.492033089 +0000 UTC,5BWL3,EDT YAM,33,8120583,212212000,31.827518333333334,34.64455833333333,ASHDOD / IL,1,60,16,8,7,3.2,5
2023-12-09 08:13:44.753123841 +0000 UTC,PCPS,CONQUEST MB1,90,0,244810178,34.64508333333333,33.01425,LIMASSOL,1,12,124,13,23,4.1,5
2023-12-09 08:13:46.648347898 +0000 UTC,A8XI6,AEGEAS,89,9315800,636014902,34.696149999999996,33.36103333333333,GRAGT>CYVAS,1,150,32,10,17,7.8,5
2023-12-09 08:13:47.482182595 +0000 UTC,9HGO7,MV SEAVENUS,70,9205940,215209000,31.82048166666667,34.57341333333333,ASHDOD,15,163,27,18,14,11.7,5
2023-12-09 08:13:54.198777061 +0000 UTC,3FGK4,REGINA MED,70,8100777,353822000,31.829016666666668,34.64391333333333,ILASH,1,80,20,10,7,7,5
2023-12-09 08:13:58.428013391 +0000 UTC,4XFR,MAORA 1,52,9132583,428000112,32.4726,34.88373333333333,HADERA PORT,1,11,22,8,3,4.3,5
2023-12-09 08:14:11.448269302 +0000 UTC,CQIZ3,MSC MASHA 3,71,9188219,255806109,34.64763333333334,33.01336833333333,LIMASSOL,1,151,33,23,7,9.7,5
2023-12-09 08:14:16.562678459 +0000 UTC,P3ZM4,EAS,52,7403146,209005000,34.64499,33.008858333333336,CYPRUS.OFFSHORE,6,12,50,6,7,5,5
2023-12-09 08:14:27.567549073 +0000 UTC,5VIC8,SYMPHONY,70,7810222,671290100,31.821846666666666,34.63664333333334,IL ASH,1,0,0,0,0,6.7,5
2023-12-09 08:14:28.792409536 +0000 UTC,V2YD4,IRIS,40,9103776,305384000,36.62234,29.105273333333333,RODOS,1,14,10,4,4,0,5
2023-12-09 08:14:38.203361938 +0000 UTC,CRXR,EDT AURORA,52,9577238,255979000,34.645205000000004,33.00913166666667,CY LMS,1,13,19,6,6,5,5
2023-12-09 08:14:38.838946684 +0000 UTC,3FUD,KAZIME ANA,79,8420359,371343000,31.822383333333335,34.63646666666667,ILASH,1,15,100,8,8,7.4,5
2023-12-09 08:14:39.910023333 +0000 UTC,LFXV,ISLAND VICTORY,52,9745615,257073920,34.646274999999996,33.02183,LIMASSOL,1,44,80,11,14,8.1,5
2023-12-09 08:14:44.481916307 +0000 UTC,DRAD,UN WARSHIP F222,35,0,211920000,34.65228333333334,33.02276666666667,-,6,54,96,9,10,6.2,5
2023-12-09 08:14:47.19531087 +0000 UTC,J8B3389,ZAYYAN K,70,7394321,375369000,31.827886666666664,34.64691833333333,ASHDOD (IL),1,63,18,6,9,7.1,5
2023-12-09 08:14:51.427148033 +0000 UTC,,ASHDOD PORT,0,0,4282000,31.831231666666667,34.639995,,1,191,45,22,10,0,5
2023-12-09 08:15:06.581651261 +0000 UTC,V3OJ,HOLMA,33,7333327,312349000,34.64523,33.01007,HERZLIYA MARINA,1,29,11,3,6,3,5
2023-12-09 08:15:22.516861578 +0000 UTC,2FFX6,LERRIX,80,9599377,235090927,31.827273333333334,34.647621666666666,ASHDOD,1,43,10,6,4,3,5
2023-12-09 08:15:29.571987314 +0000 UTC,SVSV7,CHRISTOS LV,52,9371464,241776000,34.668855,33.05159,CYLMS,1,56,0,8,8,4.6,5
2023-12-09 08:15:29.705707092 +0000 UTC,6BBI,EGY CROWN,79,9216107,622113180,34.66648166666666,33.077996666666664,CYLMS ANCHORAGE AREA,0,120,20,20,30,9.5,5
2023-12-09 08:15:30.200058286 +0000 UTC,P3WS9,ISLAND CHALLENGER,80,8711863,210595000,34.64750166666667,33.013285,CY LIM,1,54,23,4,10,4.2,5
